Time,Repeat.measurement,image,genus,species,species_author,Lat,Long,median or best estimate Ma,PaleoLat,Form,length,Zooid,width,area
Turonian.PDT,3,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,468.129,3,293.507,103238.689
Turonian.PDT,1,kz0083,Onychocella (cf.),[Cea modesta] sp. 1,"(Pocta, 1892)",050N,015E,94,042N,Erect,482.13,1,200.24,86138.61
Turonian.PDT,1,kz0083,Onychocella (cf.),[Cea modesta] sp. 1,"(Pocta, 1892)",,,,,Erect,417.28,2,223.04,86313.23
Turonian.PDT,1,kz0083,Onychocella (cf.),[Cea modesta] sp. 1,"(Pocta, 1892)",,,,,Erect,430.99,3,200.36,83155.05
Turonian.PDT,1,kz0088,Onychocella (cf.),[Cea modesta] sp. 2,"(Pocta, 1892)",050N,015E,94,042N,Erect,459.77,1,368.69,146723.61
Turonian.PDT,1,kz0088,Onychocella (cf.),[Cea modesta] sp. 2,"(Pocta, 1892)",,,,,Erect,441.78,2,400.98,122547.71
Turonian.PDT,1,kz0088,Onychocella (cf.),[Cea modesta] sp. 2,"(Pocta, 1892)",,,,,Erect,493.18,3,393.49,162920.13
Turonian.PDT,1,kz0121,Mumiella?,[Eschara mumia] ,"Pocta, 1892",050N,015E,94,042N,Sheet,359.27,1,180.88,52144.93
Turonian.PDT,1,kz0121,Mumiella?,[Eschara mumia] ,"Pocta, 1892",,,,,Sheet,344.42,2,206.8,58450.12
Turonian.PDT,1,kz0121,Mumiella?,[Eschara mumia] ,"Pocta, 1892",,,,,Sheet,326.46,3,182.7,58253.48
Turonian.PDT,1,kz0130,Wilbertopora,Not figured and described by Pocta,,050N,015E,94,042N,Sheet,518.44,1,249.3,100897.35
Turonian.PDT,1,kz0130,Wilbertopora,Not figured and described by Pocta,,,,,,Sheet,486.1,2,282.15,112265.7
Turonian.PDT,1,kz0130,Wilbertopora,Not figured and described by Pocta,,,,,,Sheet,407.27,3,245.66,85380.94
Turonian.PDT,1,kz0133,Aechmella,"koninckiana von Hagenow, sensu Pocta, 1892",,050N,015E,94,042N,Sheet,429.94,1,366.31,126349.48
Turonian.PDT,1,kz0133,Aechmella,"koninckiana von Hagenow, sensu Pocta, 1892",,,,,,Sheet,399.69,2,301.35,106081.32
Turonian.PDT,1,kz0133,Aechmella,"koninckiana von Hagenow, sensu Pocta, 1892",,,,,,Sheet,496.11,3,354.98,159956.75
Turonian.PDT,1,kz0139,Onychocella,koninckiana,"von Hagenow, sensu Pocta, 1892",050N,015E,94,042N,Sheet,541.08,1,373.46,159242.31
Turonian.PDT,1,kz0139,Onychocella,koninckiana,"von Hagenow, sensu Pocta, 1892",,,,,Sheet,505.43,2,349.23,139431.54
Turonian.PDT,1,kz0139,Onychocella,koninckiana,"von Hagenow, sensu Pocta, 1892",,,,,Sheet,452.82,3,420.86,152134.62
Turonian.PDT,1,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",050N,015E,94,042N,Sheet,217.19,1,176.66,29888.79
Turonian.PDT,1,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,150.7,2,149.82,16806.33
Turonian.PDT,1,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,183.59,3,146.26,25234.55
Turonian.PDT,2,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,216.366,1,192.647,30263.158
Turonian.PDT,2,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,154.486,2,147.254,19786.857
Turonian.PDT,2,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,182.532,3,152.015,28633.426
Turonian.PDT,3,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,231.486,1,189.319,31378.886
Turonian.PDT,3,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,159.137,2,166.999,24600.646
Turonian.PDT,3,kz0185,Spinisinella,zagorseki,"Di Martino & Taylor, 2012",,,,,Sheet,189.75,3,179.874,23497.999
Recent.PDT,1,M0007,Microporella,vibraculifera,,055N,166E,0,055N,Sheet,818.58,1,710.57,456270.68
Recent.PDT,1,M0007,Microporella,vibraculifera,,,,,,Sheet,807.01,2,637.47,415908.82
Recent.PDT,1,M0007,Microporella,vibraculifera,,,,,,Sheet,1008.94,3,745.25,454960.16
Recent.PDT,1,M0033,Microporella,sp.,,055N,167E,0,055N,Sheet,746.56,1,499.18,285090.55
Recent.PDT,1,M0033,Microporella,sp.,,,,,,Sheet,810.3,2,521.35,310382.22
Recent.PDT,1,M0033,Microporella,sp.,,,,,,Sheet,772.8,3,578.43,308636
Recent.PDT,1,M0040,Membraniporella,,,055N,168E,0,055N,Sheet,833.77,1,438.99,289954.28
Recent.PDT,1,M0040,Membraniporella,,,,,,,Sheet,831.62,2,547.89,295262.52
Recent.PDT,1,M0040,Membraniporella,,,,,,,Sheet,744.46,3,386.3,206506.2
Recent.PDT,1,M0047,Doryporella,smirnovi,,055N,167E,0,055N,Sheet,811.4,1,509.28,273136.19
Recent.PDT,1,M0047,Doryporella,smirnovi,,,,,,Sheet,692.72,2,459.23,279002.96
Recent.PDT,1,M0047,Doryporella,smirnovi,,,,,,Sheet,742.29,3,533.5,293177.51
Recent.PDT,1,M0069,Tegella,arctica ,,055N,166E,0,055N,Sheet,674.37,1,336.1,177448.02
Recent.PDT,1,M0069,Tegella,arctica ,,,,,,Sheet,623.03,2,387.28,183904.94
Recent.PDT,1,M0069,Tegella,arctica ,,,,,,Sheet,619.29,3,337.36,165311.95
Recent.PDT,1,M0089,Ellisina,sp. 1,,055N,167E,0,055N,Sheet,1540.75,1,800.89,872405.83
Recent.PDT,1,M0089,Ellisina,sp. 1,,,,,,Sheet,1256.59,2,860.84,886513.48
Recent.PDT,1,M0089,Ellisina,sp. 1,,,,,,Sheet,1492.99,3,981.11,845181.69
Recent.PDT,1,m0097,Microporella,arctica,,055N,150E,0,055N,Sheet,779.63,1,627.69,385536.19
Recent.PDT,1,m0097,Microporella,arctica,,,,,,Sheet,805.95,2,682.54,412082.67
Recent.PDT,1,m0097,Microporella,arctica,,,,,,Sheet,717.36,3,691.07,403106.69
Recent.PDT,1,m0110,Microporella,trigonellata,"Suwa & Mawatari, 1998",043N,145E,0,043N,Sheet,958.48,1,373.44,342848.9
Recent.PDT,1,m0110,Microporella,trigonellata,"Suwa & Mawatari, 1998",,,,,Sheet,776.36,2,572.75,391267.78
Recent.PDT,1,m0110,Microporella,trigonellata,"Suwa & Mawatari, 1998",,,,,Sheet,862.08,3,528.37,355680.51
Recent.PDT,1,m0124,Microporella,sp. 2,,035N,139E,0,035N,Sheet,763.14,1,469.06,247838.9
Recent.PDT,1,m0124,Microporella,sp. 2,,,,,,Sheet,712.28,2,616.74,262766.19
Recent.PDT,1,m0124,Microporella,sp. 2,,,,,,Sheet,700.48,3,445.86,232666.21
Maastrichtian.PDT,1,PDT0640,Dysnoetopora,celleporoides,Canu & Bassler,034N,078W,70,033N,Sheet,267.29,1,147.4,30959.95
Maastrichtian.PDT,1,PDT0640,Dysnoetopora,celleporoides,Canu & Bassler,,,,,Sheet,282.29,2,151.85,29242.53
Maastrichtian.PDT,1,PDT0640,Dysnoetopora,celleporoides,Canu & Bassler,,,,,Sheet,314.42,3,143.61,30166.02
Recent.PDT,1,PDT0745,Electra,angulata ,"Levinsen, 1909",025N,122E,0,025N,Sheet,488.46,1,321.84,126506.71
Recent.PDT,1,PDT0745,Electra,angulata ,"Levinsen, 1909",,,,,Sheet,514.53,2,314.07,127005.34
Recent.PDT,1,PDT0745,Electra,angulata ,"Levinsen, 1909",,,,,Sheet,520.76,3,321.93,124319.5
Eocene.PDT,1,pdt0748,Osthimosia?,,,034N,078W,38,028N,Sheet,297.25,1,285.32,69565.33
Eocene.PDT,1,pdt0748,Osthimosia?,,,,,,,Sheet,465.56,2,297.07,109424.7
Eocene.PDT,1,pdt0748,Osthimosia?,,,,,,,Sheet,418.47,3,248.08,101542.64
Eocene.PDT,1,pdt0754,Membraniporella,,,034N,078W,38,028N,Sheet,355.88,1,296.59,86146.06
Eocene.PDT,1,pdt0754,Membraniporella,,,,,,,Sheet,326.43,2,257.32,67422.19
Eocene.PDT,1,pdt0754,Membraniporella,,,,,,,Sheet,351.78,3,246.94,68917.39
Eocene.PDT,2,pdt0754,Membraniporella,,,,,,,Sheet,377.58,1,,
Eocene.PDT,2,pdt0754,Membraniporella,,,,,,,Sheet,346.03,2,,
Eocene.PDT,2,pdt0754,Membraniporella,,,,,,,Sheet,331.17,3,,
Eocene.PDT,3,pdt0754,Membraniporella,,,,,,,Sheet,355.57,1,,
Eocene.PDT,3,pdt0754,Membraniporella,,,,,,,Sheet,342.73,2,,
